img,class,conf,class-name,read,run,write
533,0;13,0.93;0.58,person;bench,0.006,0.030,0.012
534,0,0.90,person,0.006,0.030,0.010
535,0,0.94,person,0.006,0.029,0.011
536,0,0.94,person,0.006,0.029,0.011
537,0;7;0,0.94;0.85;0.50,person;truck;person,0.006,0.031,0.011
538,0,0.91,person,0.006,0.030,0.011
539,0,0.94,person,0.006,0.030,0.011
54,0,0.92,person,0.006,0.030,0.011
540,0,0.90,person,0.006,0.029,0.011
541,0,0.93,person,0.006,0.031,0.011
542,0,0.94,person,0.006,0.030,0.011
543,0,0.93,person,0.006,0.030,0.011
544,0,0.93,person,0.006,0.029,0.011
545,0,0.93,person,0.006,0.029,0.010
546,0,0.93,person,0.006,0.030,0.011
547,0,0.88,person,0.005,0.030,0.010
548,0,0.95,person,0.006,0.029,0.011
549,0;58,0.90;0.62,person;potted plant,0.007,0.030,0.012
55,0,0.93,person,0.006,0.030,0.011
550,0;13,0.92;0.85,person;bench,0.006,0.030,0.011
551,0,0.94,person,0.006,0.030,0.011
552,0,0.89,person,0.006,0.030,0.011
553,0,0.94,person,0.006,0.029,0.011
554,0,0.93,person,0.006,0.030,0.011
555,0,0.90,person,0.006,0.030,0.011
556,0,0.93,person,0.006,0.030,0.011
557,0;13,0.94;0.68,person;bench,0.006,0.031,0.011
558,0,0.93,person,0.006,0.030,0.011
559,0,0.94,person,0.006,0.030,0.011
56,0,0.94,person,0.006,0.030,0.011
560,0,0.94,person,0.006,0.031,0.011
561,0,0.93,person,0.006,0.030,0.011
562,0,0.92,person,0.006,0.030,0.011
563,0,0.84,person,0.005,0.030,0.010
564,0,0.93,person,0.006,0.030,0.011
565,0,0.91,person,0.006,0.031,0.011
566,0,0.92,person,0.006,0.030,0.011
567,0,0.93,person,0.006,0.029,0.011
568,0,0.93,person,0.006,0.031,0.011
569,0,0.92,person,0.006,0.030,0.011
57,0,0.94,person,0.006,0.031,0.011
570,0,0.93,person,0.006,0.030,0.011
571,0,0.94,person,0.006,0.030,0.011
572,0,0.91,person,0.006,0.029,0.011
573,0,0.93,person,0.006,0.030,0.011
574,0,0.92,person,0.006,0.031,0.011
575,0;13,0.94;0.83,person;bench,0.006,0.030,0.011
576,0;24,0.90;0.76,person;backpack,0.006,0.030,0.011
577,0,0.91,person,0.006,0.029,0.011
578,0,0.93,person,0.006,0.030,0.011
579,0,0.91,person,0.006,0.031,0.011
58,0,0.86,person,0.005,0.030,0.010
580,0;7,0.92;0.71,person;truck,0.005,0.029,0.010
581,0;12,0.93;0.77,person;parking meter,0.005,0.031,0.011
582,0,0.93,person,0.006,0.030,0.011
583,0,0.93,person,0.006,0.030,0.011
584,0,0.93,person,0.006,0.030,0.010
585,0,0.95,person,0.005,0.029,0.010
